learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
940.0,0.0,0.0,940.0,0.0,0.0,0.3380478292653744,0.0,?,0.0,0.2,940.0,-1.0
950.0,0.0,0.0,950.0,0.0,0.0,0.33791657635390626,0.0,?,0.0,0.2,950.0,-1.0
960.0,0.0,0.0,960.0,0.0,0.0,0.3383924590621872,0.0,?,0.0,0.2,960.0,-1.0
970.0,0.0,0.0,970.0,0.0,0.0,0.3388698655226361,0.0,?,0.0,0.2,970.0,-1.0
980.0,0.0,0.0,980.0,0.0,0.0,0.33815591039582926,0.0,?,0.0,0.2,980.0,-1.0
990.0,0.0,0.0,990.0,0.0,0.0,0.3380398812998945,0.0,?,0.0,0.2,990.0,-1.0
1000.0,0.0,0.0,1000.0,0.0,0.0,0.33792608650806494,1.0,0.0,0.0,0.2,1000.0,-1.0
1010.0,0.0,0.0,1010.0,0.0,0.0,0.3372293055869682,1.0,0.0,0.0,0.201,1010.0,-1.0
1020.0,0.0,0.0,1020.0,0.0,0.0,0.3371152436894182,1.0,0.0,0.0,0.202,1020.0,-1.0
1030.0,0.0,0.0,1030.0,0.0,0.0,0.33586080375018545,1.0,0.0,0.0,0.203,1030.0,-1.0
1040.0,0.0,0.0,1040.0,0.0,0.0,0.33631241893638736,1.0,0.0,0.0,0.20400000000000001,1040.0,-1.0
1050.0,0.0,0.0,1050.0,0.0,0.0,0.3362006835700046,1.0,0.0,0.0,0.20500000000000002,1050.0,-1.0
1060.0,0.0,0.0,1060.0,0.0,0.0,0.3355353442148386,1.0,0.0,0.0,0.20600000000000002,1060.0,-1.0
1070.0,0.0,0.0,1070.0,0.0,0.0,0.335426886560824,1.0,0.0,0.0,0.20700000000000002,1070.0,-1.0
1080.0,0.0,0.0,1080.0,0.0,0.0,0.3358703638325116,1.0,0.0,0.0,0.20800000000000002,1080.0,-1.0
1090.0,0.0,0.0,1090.0,0.0,0.0,0.3352259177284771,1.0,0.0,0.0,0.20900000000000002,1090.0,-1.0
1100.0,0.0,0.0,1100.0,0.0,0.0,0.3351242001332982,1.0,0.0,0.0,0.21000000000000002,1100.0,-1.0
1110.0,0.0,0.0,1110.0,0.0,0.0,0.33608626224655724,1.0,0.0,0.0,0.21100000000000002,1110.0,-1.0
1120.0,0.0,0.0,1120.0,0.0,0.0,0.3354608026086458,1.0,0.0,0.0,0.21200000000000002,1120.0,-1.0
1130.0,0.0,0.0,1130.0,0.0,0.0,0.3364045804771653,1.0,0.0,0.0,0.21300000000000002,1130.0,-1.0
1140.0,0.0,0.0,1140.0,0.0,0.0,0.3352784217719649,1.0,0.0,0.0,0.21400000000000002,1140.0,-1.0
1150.0,0.0,0.0,1150.0,0.0,0.0,0.33467018121637643,1.0,0.0,0.0,0.21500000000000002,1150.0,-1.0
1160.0,0.0,0.0,1160.0,0.0,0.0,0.33406781504813265,1.0,0.0,0.0,0.21600000000000003,1160.0,-1.0
1170.0,0.0,0.0,1170.0,0.0,0.0,0.3349829426913893,1.0,0.0,0.0,0.21700000000000003,1170.0,-1.0
1180.0,0.0,0.0,1180.0,0.0,0.0,0.3343936363775536,1.0,0.0,0.0,0.21800000000000003,1180.0,-1.0
1190.0,0.0,0.0,1190.0,0.0,0.0,0.334303616088509,1.0,0.0,0.0,0.219,1190.0,-1.0
1200.0,0.0,0.0,1200.0,0.0,0.0,0.33372263452558615,1.0,0.0,0.0,0.22,1200.0,-1.0
1210.0,0.0,0.0,1210.0,0.0,0.0,0.33314464371809555,1.0,0.0,0.0,0.221,1210.0,-1.0
1220.0,0.0,0.0,1220.0,0.0,0.0,0.33305862413572546,1.0,0.0,0.0,0.222,1220.0,-1.0
1230.0,0.0,0.0,1230.0,0.0,0.0,0.3329738303176862,1.0,0.0,0.0,0.223,1230.0,-1.0
1240.0,0.0,0.0,1240.0,0.0,0.0,0.3338454462969071,1.0,0.0,0.0,0.224,1240.0,-1.0
1250.0,0.0,0.0,1250.0,0.0,0.0,0.33376270778488326,1.0,0.0,0.0,0.225,1250.0,-1.0
1260.0,0.0,0.0,1260.0,0.0,0.0,0.3341485460360126,1.0,0.0,0.0,0.226,1260.0,-1.0
1270.0,0.0,0.0,1270.0,0.0,0.0,0.3336034225451865,1.0,0.0,0.0,0.227,1270.0,-1.0
1280.0,0.0,0.0,1280.0,0.0,0.0,0.33352387116816373,1.0,0.0,0.0,0.228,1280.0,-1.0
1290.0,0.0,0.0,1290.0,0.0,0.0,0.3334467673067967,1.0,0.0,0.0,0.229,1290.0,-1.0
1300.0,0.0,0.0,1300.0,0.0,0.0,0.33291469470556634,1.0,0.0,0.0,0.23,1300.0,-1.0
1310.0,0.0,0.0,1310.0,0.0,0.0,0.33238512389869723,1.0,0.0,0.0,0.231,1310.0,-1.0
1320.0,0.0,0.0,1320.0,0.0,0.0,0.3314058428576963,1.0,0.0,0.0,0.232,1320.0,-1.0
1330.0,0.0,0.0,1330.0,0.0,0.0,0.33088121934650383,1.0,0.0,0.0,0.233,1330.0,-1.0
1340.0,0.0,0.0,1340.0,0.0,0.0,0.33170245158980105,1.0,0.0,0.0,0.234,1340.0,-1.0
1350.0,0.0,0.0,1350.0,0.0,0.0,0.3307439638976537,1.0,0.0,0.0,0.23500000000000001,1350.0,-1.0
1360.0,0.0,0.0,1360.0,0.0,0.0,0.33067104847757073,1.0,0.0,0.0,0.23600000000000002,1360.0,-1.0
1370.0,0.0,0.0,1370.0,0.0,0.0,0.3310385921431002,1.0,0.0,0.0,0.23700000000000002,1370.0,-1.0
1380.0,0.0,0.0,1380.0,0.0,0.0,0.3309683055098666,1.0,0.0,0.0,0.23800000000000002,1380.0,-1.0
1390.0,0.0,0.0,1390.0,0.0,0.0,0.330469897323399,1.0,0.0,0.0,0.23900000000000002,1390.0,-1.0
1400.0,0.0,0.0,1400.0,0.0,0.0,0.3304011605931597,1.0,0.0,0.0,0.24000000000000002,1400.0,-1.0
1410.0,0.0,0.0,1410.0,0.0,0.0,0.33075968842043985,1.0,0.0,0.0,0.24100000000000002,1410.0,-1.0
1420.0,0.0,0.0,1420.0,0.0,0.0,0.3302727295840247,1.0,0.0,0.0,0.24200000000000002,1420.0,-1.0
1430.0,0.0,0.0,1430.0,0.0,0.0,0.32978681520681574,1.0,0.0,0.0,0.24300000000000002,1430.0,-1.0
1440.0,0.0,0.0,1440.0,0.0,0.0,0.3301409303999569,1.0,0.0,0.0,0.24400000000000002,1440.0,-1.0
1450.0,0.0,0.0,1450.0,0.0,0.0,0.3300777693609408,1.0,0.0,0.0,0.24500000000000002,1450.0,-1.0
1460.0,0.0,0.0,1460.0,0.0,0.0,0.3300151472338718,1.0,0.0,0.0,0.246,1460.0,-1.0
1470.0,0.0,0.0,1470.0,0.0,0.0,0.33117224982302973,1.0,0.0,0.0,0.247,1470.0,-1.0
1480.0,0.0,0.0,1480.0,0.0,0.0,0.33191461734392547,1.0,0.0,0.0,0.248,1480.0,-1.0
1490.0,0.0,0.0,1490.0,0.0,0.0,0.3326474501849332,1.0,0.0,0.0,0.249,1490.0,-1.0
1500.0,0.0,0.0,1500.0,0.0,0.0,0.33376307437081726,1.0,0.0,0.0,0.25,1500.0,-1.0
1510.0,0.0,0.0,1510.0,0.0,0.0,0.33563336847983866,1.0,0.0,0.0,0.251,1510.0,-1.0
